id;artist;album
QCLxY1FHMh0;big k.r.i.t.;tdt compilation
mbF6V2ouS28;marquis hill;modern flows, vol. 2
Mjs52lzxkZo;bad bunny;x 100pre
cY27XD0ZRho;21 savage;i am greater than i was
-jI1ofec02A;system of a down;toxicity
3d1rxJTIJX8;burial;untrue
PAkj5yAUFno;cannibal ox;the cold vein
P_VJMHhM6v0;sleater;the woods
fexnCtc5_BI;the postal service;give up
0RX4a0htqGE;meek mill;championships
jVCFinUjUrU;soap&skin;from gas to solid / you are my friend
QxqCaR0jFQU;black thought & salaam remi;streams of thought, vol. 2 ep
A38GRCfbJkw;xxxtentacion;skins
qaD2eyTJoj0;ski mask the slump god;stokeley
NBPPffw84r4;the 1975;a brief inquiry into online relationships
G6em044hErc;earl sweatshirt;some rap songs
sh7znEb3TQg;kai whiston;kai whiston bitch
HgUsQKCw7Wo;j.i.d;dicaprio 2
ztTCkWZ1qko;onyx collective;lower east suite part three
fpnn6UuKUZU;6ix9ine;dummy boy
bljZyA60Qmc;tyler, the creator;music inspired by illumination & dr. seuss' the grinch ep
EJjG_aK0tIU;muse;simulation theory
I9YcGpehDnk;trippie redd;a love letter to you 3 mixtape
r0kBjptl8_0;jaden smith;the sunset tapes: a cool tape story
tIWTYmVCs9c;anderson .paak;oxnard
n5Pehmoo-SE;action bronson;white bronco
ZuiTDmMu01c;lil peep;come over when you're sober, pt. 2
Dmom8_-isQA;jeffrey lewis;​2010)
5vXVnzY_zn4;imagine dragons' origins;imagine dragons' origins
e4zQHNTEqEw;sun kil moon;this is my dinner
oHIXPOHr6JI;metro boomin;not all heroes wear capes
tPU_qMbBPTY;takeoff;the last rocket
sPloNY4dmnc;curren$y, freddie gibbs & the alchemist;fetti
lqax_kwYL3A;poppy;am i a girl?
E93gYPKfC8U;rosalía;el mal querer
zlmRdQanHlc;vince staples;fm!
iWiKSNULvPc;julia holter;aviary
DO5pcLp8-HM;daughters;you won't get what you want
Nev2-f2cfjo;current 93;the light is leaving us all
cEkJziOSNzs;kurt vile;bottle it in
9UPA4YgRVhU;joji;ballads 1
m89uoXuylag;greta van fleet;anthem of the peaceful army
-n60eP_iDvw;lil yachty;nuthin' 2 prove
oCYzQoqadRI;little big;antipositive part 2 (mini)
0lapNx5xza8;open mike eagle;what happens when i try to relax ep
9Ibaafl2_-I;future & juice wrld;wrld on drugs
ORMZmOHPpWQ;high on fire;electric messiah
fdryZIr7Cp4;polyphia;new levels new devils
pLjeA3MdYHA;city morgue;vol. 1: hell or high water
x28E4mYBdwI;quavo;quavo huncho
mFXDzNcsUcg;clarence clarity;think: peace
Sh1JemfxBkc;horrendous;idol
Xl5r-2xMQb0;lil baby & gunna;drip harder
vmOjFuDulwY;sheck wes;mudboy
EFnXxL8sJ74;behemoth;i loved you at your darkest
r_WKzCe2Tc0;marissa nadler;for my crimes
GTuTUfMe64Q;twenty one pilots;trench
9NYrsLKHDvg;logic;ysiv
ErQy1u8wT6g;kero kero bonito;time 'n' place
c_oRpnnMVIs;tim hecker;konoyo
EHNTRu_ocH4;lil wayne;tha carter v
LbhRrs9mQcw;lupe fiasco;drogas wave
BbtNEZizabs;jmsn;velvet
gg0jnJwce3w;hozier;nina cried power ep
MSivWA97EdQ;milo;budding ornithologists are weary of tired analogies
E4csHqVYJXo;brockhampton;iridescence
57r3E3XRNRk;guerilla toss;twisted crystal
GN5tigKpQ9M;spiritualized;and nothing hurt
gHCD_yZlqBA;6lack;east atlanta love letter
NvbzLQbLShE;noname;room 25
xedn_lbTJzo;aphex twin;collapse ep
18NbdIPrMLo;russ;zoo
i4BoYm405Zk;yves tumor;safe in the hands of love
u0q5KiNtTbE;$uicideboy$;i want to die in new orleans
idIoNJQGrAg;thou;magus
UoAAk3tRb-g;okonkolo;cantos
PBAuMgx3uwk;armand hammer;paraffin
4i2PpkVGQNQ;idles;joy as an act of resistance.
-2Neevd-Low;george clanton;slide
J34qpusEXK4;eminem;kamikaze
gJltJ5WeGvA;interpol;marauder
KMc_N5ziha0;blood orange;negro swan
N0VWqq5BPlc;oh sees;smote reverser
5wzAij917v4;hermit and the recluse;orpheus vs. the sirens
OxeoGczp0Qg;ariana grande;sweetener
Rok6VEyNoFU;mitski;be the cowboy
