url;id;title
/watch?v=EMTBCKD2Uy4&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=79;EMTBCKD2Uy4;Mark Kozelek with Ben Boye and Jim White - Mark Kozelek with Ben Boye and Jim White 2 ALBUM REVIEW
/watch?v=_O0UrJG9J0A&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=80;_O0UrJG9J0A;Trippie Redd - A Love Letter to You 4 MIXTAPE REVIEW
/watch?v=fC94rzgHF3M&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=81;fC94rzgHF3M;YUNOREVIEW: November 2019 (Kai Whiston, Wiki, GFOTY, Blood Incantation)
/watch?v=VkMov0H8QRA&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=82;VkMov0H8QRA;Coldplay - Everyday Life ALBUM REVIEW
/watch?v=wsu8XzmeOYg&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=83;wsu8XzmeOYg;Have a Nice Life - Sea of Worry ALBUM REVIEW
/watch?v=rLCwc_nrimk&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=84;rLCwc_nrimk;Weekly Track Roundup: 11/24 (Rina Sawayama, Marilyn Manson, Bad Bunny, Ozzy Osbourne)
/watch?v=ckBbj-E0SdA&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=85;ckBbj-E0SdA;Madeon - Good Faith ALBUM REVIEW
/watch?v=ORXahmp1tLk&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=86;ORXahmp1tLk;2020 Grammy Awards Picks & Predictions!
/watch?v=NMsEzAg_E7o&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=87;NMsEzAg_E7o;Liturgy - H.A.Q.Q. ALBUM REVIEW
/watch?v=9aInNmFYxRM&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=88;9aInNmFYxRM;Mount Eerie with Julie Doiron - Lost Wisdom pt. 2 ALBUM REVIEW
/watch?v=VuWOK6_7GZU&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=89;VuWOK6_7GZU;Lil Peep - Everybody's Everything COMPILATION REVIEW
