ARTISTS,ALBUM TITLE,SCORE,GENDER
Active Child,You Are All I See,6,M
Machinedrum,Room(s),6,M
Washed Out,Within and Without,6,M
Bill Callahan,Apocalypse,6,M
Fashawn,Higher Learning Vol. 2,6,M
Toro Y Moi,Underneath the Pine,6,M
John Vanderslice,White Wilderness,6,M
Shad,TSOL,6,M
Tonetta,777 Volume One,6,M
Kanye West,My Beautiful Dark Twisted Fantasy,6,M
Teebs,Ardour,6,M
Kid Cudi,Man on the Moon II: The Legend of Mr. Rager,6,M
Sufjan Stevens,The Age of Adz,6,M
Mono/Poly,Paramatma,6,M
Big Boi,Sir Lucious Left Foot: The Son of Chico Dusty,6,M
Guilty Simpson,OJ Simpson,6,M
Caribou,Swim ,6,M
Jonsi,Go ,6,M
Makaya McCraven,We're New Again,6,M
Thundercat,It Is What It Is,6,M
"Royce da 5'9""",The Allegory,6,M
Kai Whiston,Kai Whiston Bitch,7,M
Trippie Redd,A Love Letter To You 3,7,M
Jeffrey Lewis,Works by Tuli Kupferberg (1923-2010),7,M
Vince Staples,FM!,7,M
Open Mike Eagle,What Happens When I Try To Relax,7,M
Clarence Clarity,Think: Peace,7,M
Lupe Fiasco,DROGAS Wave,7,M
JMSN,Velvet,7,M
Yves Tumor,Safe in the Hands of Love,7,M
George Clinton,Slide,7,M
Iglooghost,Steel Mogu,7,M
Travis Scott,Astroworld,7,M
James Ferraro,Four Pieces for Mirai,7,M
serpentwithfeet,soil,7,M
Father John Misty,God's Favorite Customer,7,M
Mark Kozelek,Mark Kozelek,7,M
Ski Mask the Slump God,Beware the Book of Eli,7,M
Playboi Carti,Die Lit,7,M
Jon Hopkins,Singularity,7,M
Post Malone,beerbongs & bentleys,7,M
John Prine,The Tree of Forgiveness,7,M
Mount Eerie,Now Only,7,M
David Byrne,American Utopia,7,M
Ty Segall,Freedom's Goblin,7,M
Chris Stapleton,From A Room: Volume 2,7,M
Makaya McCraven,Highly Rare,7,M
Lil Pump,Lil Pump,7,M
Daniel Caeser,Freudian,7,M
Nmesh,Pharma,7,M
Corbin,Mourn,7,M
wifisfuneral,Boy Who Cried Wolf,7,M
Milo,Who Told You To Think??!!?!?!?!,7,M
Igorrr,Savage Sinusoid,7,M
Roger Waters,Is This the Life We Really Want?,7,M
Mac DeMarco,This Old Dog,7,M
Colin Stetson,All This I Do For Glory,7,M
Kendrick Lamar,DAMN.,7,M
Your Old Droog,Packs,7,M
Blanck Mass,World Eater,7,M
Jonwayne,Rap Album Two,7,M
William Basinski,A Shadow In Time ,7,M
Ab-Soul,Do What Thou Wilt.,7,M
Childish Gambino,"Awaken, My Love!",7,M
Bruno Mars,24k Magic,7,M
D.R.A.M.,Big Baby D.R.A.M.,7,M
Vince Staples,Prima Donna,7,M
Young Thug,Jefferey,7,M
Bones,PaidProgramming2,7,M
Kemba,Negus,7,M
Apathy,Handshakes With Snakes,7,M
Clams Casino,32 Levels,7,M
Joey Purps,iiiDrops,7,M
Chance The Rapper,Coloring Book,7,M
Skepta,Konnichiwa,7,M
Deakin,Sleep Cycle,7,M
Kano,Made In the Manor,7,M
Lil Yachty,Lil Boat,7,M
Iggy Pop,Post-Pop Depression,7,M
Mr. Yote,The Terrible Tales of Scurvy Jones,7,M
Bones,Useless,7,M
Benjamin Clementine,At Least For Now,7,M
Pusha T,King Push – Darkest Before Dawn: The Prelude,7,M
Christian Scott aTunde Adjuah,Stretch Music,7,M
Wiki,Lil Me,7,M
Waka Flocka Flame,Flockaveli 1.5,7,M
Freddie Gibbs,Shadow of a Doubt,7,M
Car Seat Headrest,Teens of Style,7,M
Uncommon Nasa,Halfway,7,M
Mac Miller,GO:OD AM,7,M
Dr. Dre,Compton,7,M
Mac DeMarco,Another One,7,M
Quelle Chris,Innocent Country,7,M
RP Boo,"Fingers, Bank Pads & Shoeprints",7,M
Meek Mill,Dreams Worth More Than Money,7,M
Jamie xx,In Colour,7,M
Paul de Jong,IF,7,M
Toro Y Moi,What For?,7,M
Billy Woods,"Today, I Wrote Nothing",7,M
Sufjan Stevens,Carrie & Lowell,7,M
John Carpenter,Lost Themes,7,M
Lupe Fiasco,Tetsuo & Youth,7,M
OG Maco,OG Maco,7,M
A$AP Ferg,Ferg Forever,7,M
Andy Stott,Faith In Strangers,7,M
Mr. Oizo,The Church,7,M
Vince Staples,Hell Can Wait,7,M
Sir Michael Rocks,Banco,7,M
Otis Brown III,The Thought of You,7,M
Weird Al Yankovic,Mandatory Fun,7,M
Deadmau5,While (1 Is Less Than 2),7,M
Owen Pallett,In Conflict,7,M
Lil Herb,Welcome To Fazoland,7,M
Tony Molina,Dissed and Dismissed,7,M
Evian Christ,Waterfall,7,M
Schoolboy Q,Oxymoron,7,M
Nils Frahm,Spaces,7,M
Quelle Chris,Ghost At The Finish Line,7,M
Moonface,Julia With Blue Jeans On,7,M
Eminem,The Marshall Mathers LP 2,7,M
Four Tet,Beautiful Rewind,7,M
Shad,Flying Colours,7,M
Danny Brown,Old,7,M
Machinedrum,Vapor City,7,M
Denzel Curry,Nostalgic 64,7,M
King Krule,6 Feet Beneath The Moon,7,M
A$AP Ferg,Trap Lord,7,M
James Holden,The Inheritors,7,M
Billy Woods,Dour Candy,7,M
Joey Bada$$,Summer Knights,7,M
Mr. Muthafuckin' eXquire,Kismet,7,M
Bibio,Silver Wilkinson,7,M
Quasimoto,Yessir Whatever,7,M
Colin Stetson,New History Warfare Vol. 3: To See More Light,7,M
